evaluation_method,evaluation_score,standard_deviation,score_percent,std_percentage_points
Standard 80/20 split,0.99906673680281,,99.906673680281,
OOB evaluation,0.9991133999626695,,99.91133999626695,
Five-fold KFold,0.9991617599647057,0.0001868838837630504,99.91617599647057,0.01868838837630504
GroupShuffleSplit,0.6534089990460946,,65.34089990460946,
Five-fold GroupKFold,0.6759368246694522,0.02029207806007923,67.59368246694521,2.029207806007923
