,precision,recall,f1-score,support
175,1.0,1.0,1.0,186.0
176,1.0,1.0,1.0,183.0
177,1.0,1.0,1.0,73.0
178,1.0,1.0,1.0,464.0
179,1.0,1.0,1.0,216.0
180,1.0,1.0,1.0,69.0
181,1.0,1.0,1.0,136.0
182,1.0,1.0,1.0,81.0
183,1.0,1.0,1.0,315.0
184,1.0,1.0,1.0,153.0
185,1.0,1.0,1.0,130.0
186,1.0,1.0,1.0,81.0
187,1.0,1.0,1.0,151.0
188,1.0,1.0,1.0,37.0
189,1.0,1.0,1.0,163.0
190,1.0,1.0,1.0,47.0
191,1.0,1.0,1.0,65.0
192,1.0,1.0,1.0,99.0
193,1.0,1.0,1.0,66.0
194,1.0,1.0,1.0,59.0
195,1.0,1.0,1.0,170.0
196,1.0,1.0,1.0,86.0
197,1.0,1.0,1.0,32.0
198,1.0,1.0,1.0,42.0
199,1.0,1.0,1.0,416.0
200,1.0,1.0,1.0,302.0
201,1.0,1.0,1.0,253.0
202,1.0,1.0,1.0,68.0
203,1.0,1.0,1.0,235.0
204,1.0,1.0,1.0,18.0
205,1.0,1.0,1.0,49.0
206,1.0,1.0,1.0,136.0
207,1.0,1.0,1.0,38.0
208,1.0,1.0,1.0,77.0
209,1.0,1.0,1.0,45.0
210,1.0,1.0,1.0,30.0
211,1.0,1.0,1.0,166.0
212,1.0,1.0,1.0,14.0
213,1.0,1.0,1.0,149.0
214,1.0,1.0,1.0,31.0
215,1.0,1.0,1.0,150.0
216,1.0,1.0,1.0,219.0
217,1.0,1.0,1.0,118.0
218,1.0,1.0,1.0,127.0
219,1.0,1.0,1.0,33.0
220,1.0,1.0,1.0,43.0
221,1.0,1.0,1.0,104.0
222,1.0,1.0,1.0,32.0
223,1.0,1.0,1.0,163.0
224,1.0,1.0,1.0,101.0
225,1.0,1.0,1.0,48.0
226,1.0,1.0,1.0,84.0
227,1.0,1.0,1.0,39.0
228,1.0,1.0,1.0,21.0
229,1.0,1.0,1.0,76.0
230,1.0,1.0,1.0,103.0
231,1.0,1.0,1.0,34.0
232,1.0,1.0,1.0,183.0
233,1.0,1.0,1.0,38.0
234,1.0,1.0,1.0,92.0
235,1.0,1.0,1.0,115.0
236,1.0,1.0,1.0,36.0
237,1.0,1.0,1.0,2032.0
238,1.0,1.0,1.0,551.0
239,1.0,1.0,1.0,1256.0
240,1.0,1.0,1.0,123.0
241,1.0,1.0,1.0,38.0
242,1.0,1.0,1.0,60.0
243,1.0,1.0,1.0,228.0
244,1.0,1.0,1.0,41.0
245,1.0,1.0,1.0,38.0
246,1.0,1.0,1.0,61.0
247,1.0,1.0,1.0,32.0
248,1.0,1.0,1.0,150.0
249,1.0,1.0,1.0,43.0
250,1.0,1.0,1.0,124.0
251,1.0,1.0,1.0,66.0
252,1.0,1.0,1.0,36.0
253,1.0,1.0,1.0,83.0
254,1.0,1.0,1.0,21.0
255,1.0,1.0,1.0,151.0
256,1.0,1.0,1.0,49.0
257,1.0,1.0,1.0,44.0
258,1.0,1.0,1.0,307.0
259,1.0,1.0,1.0,58.0
260,1.0,1.0,1.0,85.0
261,1.0,1.0,1.0,33.0
262,1.0,1.0,1.0,69.0
263,1.0,1.0,1.0,68.0
264,1.0,1.0,1.0,33.0
265,1.0,1.0,1.0,52.0
266,1.0,1.0,1.0,19.0
267,1.0,1.0,1.0,88.0
268,1.0,1.0,1.0,17.0
269,1.0,1.0,1.0,17.0
270,1.0,1.0,1.0,297.0
271,1.0,1.0,1.0,69.0
272,1.0,1.0,1.0,180.0
273,1.0,1.0,1.0,182.0
274,1.0,1.0,1.0,70.0
275,1.0,1.0,1.0,65.0
276,1.0,1.0,1.0,33.0
277,1.0,1.0,1.0,10.0
278,1.0,1.0,1.0,22.0
279,1.0,1.0,1.0,84.0
280,1.0,1.0,1.0,89.0
281,1.0,1.0,1.0,106.0
282,1.0,1.0,1.0,23.0
283,1.0,1.0,1.0,39.0
284,1.0,1.0,1.0,255.0
285,1.0,1.0,1.0,58.0
286,1.0,1.0,1.0,32.0
287,1.0,1.0,1.0,75.0
288,1.0,1.0,1.0,30.0
289,1.0,1.0,1.0,13.0
290,1.0,1.0,1.0,23.0
291,1.0,1.0,1.0,26.0
292,1.0,1.0,1.0,111.0
